vibration_mm_s,temperature_celsius,target_y
2.67,70.98,0
2.89,57.49,0
2.71,58.53,0
0.88,54.01,0
1.44,67.54,0
2.29,55.16,0
1.09,53.29,0
2.55,65.46,0
2.93,58.43,0
0.84,63.92,0
2.44,71.52,0
2.49,61.57,0
2.6,59.3,0
2.29,55.5,0
1.89,58.07,0
2.46,56.89,0
1.98,67.4,0
2.14,51.95,0
1.67,63.19,0
2.57,73.09,0
2.09,66.99,0
3.04,55.6,0
2.74,70.33,0
2.22,53.82,0
2.33,47.64,0
2.49,54.28,0
2.28,64.28,0
2.55,63.39,0
1.75,50.85,0
2.04,49.11,0
1.21,64.01,0
3.45,71.28,0
1.81,55.4,0
2.06,54.64,0
2.02,58.68,0
1.36,54.05,0
2.0,55.82,0
2.39,60.83,0
1.98,55.43,0
1.08,68.71,0
1.72,52.95,0
1.6,50.49,0
3.33,67.53,0
3.0,69.81,0
1.36,68.37,0
1.93,56.87,0
2.45,43.67,0
1.6,62.44,0
2.25,74.95,0
2.0,55.8,0
0.84,67.57,0
1.82,60.13,0
2.54,58.55,0
1.94,50.52,0
2.15,57.14,0
1.65,58.72,0
1.71,50.99,0
2.5,56.72,0
2.06,64.66,0
2.0,50.64,0
1.08,61.47,0
1.1,66.93,0
2.83,58.5,0
2.26,78.59,0
1.72,55.66,0
2.3,52.57,0
0.81,45.5,0
1.67,62.99,0
1.69,58.15,0
2.19,67.28,0
0.61,55.14,0
1.45,47.54,0
2.51,65.5,0
1.56,65.19,0
2.21,78.23,0
2.24,58.82,0
3.1,57.9,0
1.59,55.27,0
3.09,61.44,0
1.52,70.53,0
2.69,54.0,0
2.22,60.14,0
3.27,76.44,0
1.84,64.95,0
0.71,54.24,0
2.54,56.07,0
0.78,44.35,0
2.0,59.79,0
1.96,58.04,0
2.47,60.79,0
2.22,57.45,0
2.29,64.96,0
1.55,69.19,0
2.82,81.95,0
2.21,41.79,0
2.3,60.24,0
2.95,64.79,0
1.85,75.75,0
1.08,60.64,0
2.09,49.82,0
2.06,65.73,0
2.3,71.18,0
2.25,59.59,0
1.5,57.84,0
1.73,68.1,0
2.27,69.82,0
1.84,54.76,0
2.32,51.65,0
1.64,53.34,0
1.84,68.55,0
2.86,57.24,0
2.49,72.71,0
1.93,76.81,0
2.32,81.48,0
1.94,58.2,0
2.1,65.4,0
1.6,65.82,0
1.89,60.05,0
2.19,61.97,0
2.51,49.44,0
2.34,72.12,0
1.99,58.01,0
1.86,61.64,0
2.55,59.41,0
2.28,53.84,0
2.46,48.86,0
1.34,56.01,0
1.51,63.39,0
0.84,54.81,0
3.34,64.93,0
2.28,64.0,0
2.03,53.12,0
2.2,55.02,0
2.82,56.67,0
2.94,58.88,0
2.05,71.38,0
1.44,79.2,0
1.7,57.88,0
2.13,68.86,0
2.22,64.18,0
0.85,43.65,0
1.73,49.32,0
1.34,69.18,0
1.6,73.06,0
1.88,52.77,0
1.34,61.0,0
2.31,48.2,0
2.43,63.25,0
1.8,63.6,0
2.42,52.14,0
1.59,60.73,0
1.33,62.0,0
1.44,57.16,0
2.66,52.03,0
1.72,58.39,0
2.36,51.86,0
2.1,72.03,0
1.76,63.69,0
1.98,59.98,0
1.76,51.57,0
2.13,57.07,0
2.32,61.13,0
2.08,56.2,0
1.76,47.69,0
2.25,58.93,0
1.25,52.03,0
2.08,46.09,0
1.54,62.85,0
1.56,64.88,0
1.71,70.34,0
1.07,43.92,0
1.66,70.11,0
1.46,47.57,0
2.3,61.18,0
2.97,63.68,0
2.76,62.34,0
1.93,61.4,0
1.66,45.34,0
1.62,52.82,0
1.77,63.72,0
2.38,68.89,0
1.74,61.46,0
0.93,70.63,0
2.5,61.27,0
2.5,61.05,0
1.85,69.97,0
1.56,48.31,0
2.21,67.54,0
2.02,66.62,0
2.48,51.07,0
0.6,59.5,0
2.43,61.84,0
1.74,59.92,0
0.93,66.09,0
2.39,57.06,0
2.92,64.85,0
1.33,69.29,0
2.16,64.34,0
1.56,66.11,0
1.03,41.66,0
1.83,68.32,0
0.98,65.12,0
1.86,54.56,0
1.3,61.95,0
1.43,57.48,0
1.06,59.31,0
1.11,54.72,0
2.02,61.78,0
1.75,48.39,0
1.98,55.73,0
1.5,66.29,0
1.89,59.05,0
2.35,72.2,0
0.88,66.95,0
2.06,63.02,0
1.29,66.44,0
1.94,62.0,0
1.65,57.18,0
2.13,63.75,0
1.89,48.15,0
2.2,55.63,0
2.02,44.89,0
2.12,65.37,0
1.3,49.97,0
1.54,72.96,0
3.51,57.85,0
1.99,54.73,0
2.21,69.91,0
2.1,55.64,0
2.26,72.35,0
1.74,55.47,0
1.55,43.14,0
2.97,65.95,0
1.93,61.51,0
1.98,63.28,0
2.03,75.06,0
1.61,66.16,0
1.67,60.19,0
1.57,58.73,0
1.2,62.74,0
1.64,62.37,0
1.5,67.84,0
1.63,73.3,0
2.56,53.01,0
2.2,55.76,0
1.86,51.49,0
2.92,53.2,0
3.13,50.54,0
2.45,73.66,0
1.47,57.28,0
2.47,65.75,0
2.44,54.16,0
0.97,55.12,0
2.09,61.51,0
2.68,48.38,0
2.37,58.08,0
2.57,64.78,0
0.92,52.1,0
2.05,66.44,0
1.0,56.01,0
2.22,56.36,0
1.53,57.66,0
1.34,57.67,0
1.72,50.79,0
1.31,52.84,0
1.3,43.65,0
1.12,50.24,0
2.49,61.59,0
1.99,64.13,0
1.97,53.86,0
1.2,70.99,0
1.03,51.5,0
1.94,60.37,0
2.1,51.02,0
2.75,53.15,0
1.57,60.8,0
1.63,70.96,0
3.13,60.19,0
1.5,63.91,0
1.39,47.24,0
1.51,53.12,0
1.74,65.54,0
2.3,47.98,0
0.79,57.83,0
2.14,65.88,0
1.67,58.26,0
2.51,60.01,0
1.57,66.09,0
1.89,54.76,0
2.72,40.81,0
2.13,44.08,0
2.59,56.58,0
2.16,73.9,0
2.09,64.65,0
1.84,62.7,0
2.45,53.03,0
1.72,51.33,0
2.89,67.48,0
0.98,55.0,0
2.29,60.39,0
1.36,72.5,0
1.66,59.81,0
1.43,54.82,0
2.19,60.61,0
2.05,60.26,0
1.64,55.75,0
1.69,55.05,0
2.72,49.4,0
1.44,56.07,0
2.64,39.16,0
1.08,46.35,0
1.88,47.87,0
2.11,50.87,0
1.56,73.55,0
2.01,62.28,0
1.41,57.12,0
1.79,60.91,0
0.9,44.82,0
1.51,64.07,0
1.04,59.16,0
2.14,50.26,0
1.68,44.08,0
2.15,54.31,0
1.91,62.06,0
1.69,60.14,0
1.08,52.29,0
1.75,66.39,0
1.91,46.42,0
1.46,59.85,0
1.62,68.8,0
2.02,61.57,0
2.07,61.15,0
3.06,59.51,0
1.58,45.83,0
3.28,55.25,0
2.8,57.27,0
0.85,54.93,0
1.47,75.66,0
1.67,52.27,0
2.29,87.08,0
3.27,60.29,0
0.6,66.01,0
1.14,54.28,0
1.4,60.63,0
1.54,56.72,0
1.98,59.04,0
2.46,63.25,0
2.82,69.99,0
2.88,60.54,0
1.39,65.93,0
2.17,46.36,0
2.1,70.89,0
2.54,64.95,0
2.11,51.69,0
2.46,52.6,0
2.16,65.34,0
2.57,72.1,0
1.8,62.92,0
1.38,65.51,0
2.1,57.05,0
1.74,61.99,0
1.96,59.9,0
2.58,61.0,0
1.99,77.54,0
2.84,64.2,0
1.99,68.98,0
1.66,68.14,0
2.21,65.59,0
1.57,76.03,0
2.43,68.93,0
1.55,58.17,0
2.14,60.49,0
2.04,58.98,0
0.71,65.21,0
2.78,56.52,0
1.06,73.6,0
1.75,73.27,0
1.43,46.8,0
1.12,64.71,0
2.25,61.32,0
2.66,58.47,0
2.77,57.83,0
2.28,55.89,0
2.48,50.68,0
1.53,62.17,0
2.78,74.25,0
1.89,46.27,0
1.06,51.76,0
2.35,64.09,0
1.71,56.92,0
2.1,52.0,0
2.46,51.8,0
2.39,56.12,0
1.87,70.81,0
1.26,56.32,0
2.63,65.17,0
1.38,53.2,0
0.77,47.62,0
2.03,57.25,0
2.0,58.4,0
1.31,60.45,0
2.87,58.14,0
2.66,73.95,0
3.33,55.94,0
0.87,70.21,0
1.68,64.28,0
2.0,58.99,0
1.68,52.84,0
1.75,59.97,0
1.93,69.16,0
2.37,57.26,0
2.09,52.13,0
1.99,59.78,0
1.32,55.67,0
1.7,64.29,0
1.14,54.21,0
2.49,53.3,0
2.61,65.06,0
2.35,62.83,0
1.77,62.33,0
1.85,62.9,0
2.72,49.61,0
2.49,65.09,0
2.33,70.53,0
0.83,56.68,0
1.53,68.87,0
2.06,57.37,0
2.4,62.27,0
2.12,63.27,0
1.92,59.02,0
1.35,63.32,0
2.12,46.6,0
2.83,80.55,0
2.72,67.33,0
3.23,58.13,0
1.46,60.49,0
3.25,50.46,0
2.11,65.37,0
2.62,70.09,0
1.79,63.03,0
2.31,54.34,0
1.5,51.78,0
2.37,55.45,0
2.54,58.27,0
1.43,69.73,0
3.25,60.34,0
1.4,49.82,0
1.92,69.41,0
1.59,72.99,0
1.87,53.33,0
1.23,43.57,0
1.54,56.92,0
0.8,59.83,0
2.27,55.99,0
2.04,53.72,0
1.01,48.21,0
2.1,63.2,0
2.99,63.43,0
1.69,49.24,0
2.28,69.2,0
1.18,56.29,0
1.82,50.0,0
2.09,76.41,0
2.25,60.73,0
1.17,54.58,0
0.97,68.13,0
1.95,68.68,0
1.87,61.01,0
1.1,53.1,0
1.34,62.09,0
2.49,58.02,0
3.23,56.53,0
1.46,41.68,0
2.21,59.97,0
1.55,62.22,0
1.82,51.72,0
1.97,62.47,0
1.51,69.67,0
1.49,60.68,0
1.25,61.83,0
2.41,52.32,0
2.06,54.23,0
2.02,66.24,0
1.42,52.43,0
1.21,66.7,0
0.9,71.67,0
2.41,47.59,0
1.51,57.26,0
1.15,55.41,0
2.53,54.66,0
2.42,56.99,0
2.05,66.58,0
1.07,51.65,0
2.39,69.66,0
1.68,49.5,0
2.06,60.9,0
2.12,68.14,0
1.9,62.87,0
2.58,63.29,0
1.81,53.64,0
1.35,47.28,0
1.54,63.33,0
3.33,59.88,0
2.23,75.84,0
1.29,76.36,0
2.19,64.43,0
0.52,60.59,0
0.58,53.34,0
1.3,56.65,0
1.85,52.39,0
2.38,65.05,0
2.25,58.76,0
1.31,60.52,0
1.4,66.93,0
2.6,66.09,0
3.04,55.0,0
2.08,59.9,0
1.06,53.81,0
1.77,75.73,0
1.21,55.38,0
2.47,56.55,0
1.76,67.82,0
0.54,56.13,0
2.65,57.36,0
2.61,50.18,0
1.91,57.25,0
2.82,54.82,0
1.96,54.12,0
3.63,52.72,0
1.34,69.14,0
1.4,47.39,0
2.1,66.1,0
2.35,67.71,0
1.18,61.46,0
2.12,59.59,0
2.72,61.26,0
1.97,63.26,0
1.88,50.27,0
1.41,49.38,0
2.29,56.35,0
2.79,79.5,0
1.76,54.01,0
1.77,62.2,0
2.93,67.01,0
2.11,48.73,0
2.38,51.32,0
1.8,56.93,0
2.31,75.9,0
2.65,60.45,0
1.47,64.57,0
2.45,66.61,0
1.54,60.85,0
2.06,57.05,0
2.35,65.56,0
3.61,51.86,0
1.45,61.87,0
3.48,69.53,0
0.93,66.57,0
2.27,56.19,0
1.56,68.09,0
2.6,59.96,0
2.59,58.17,0
1.33,67.46,0
1.95,56.72,0
2.73,53.9,0
1.62,54.13,0
0.87,77.27,0
2.15,54.34,0
1.76,68.45,0
2.49,52.02,0
1.83,50.92,0
0.72,53.86,0
1.72,69.25,0
1.64,63.89,0
2.1,52.71,0
1.91,69.2,0
2.31,60.03,0
2.28,68.06,0
1.45,41.82,0
1.45,67.0,0
1.87,62.78,0
2.33,68.75,0
1.71,66.15,0
0.47,65.74,0
1.61,58.06,0
2.04,57.01,0
1.95,56.41,0
1.42,65.62,0
2.04,72.0,0
1.43,51.24,0
3.22,70.07,0
1.41,51.85,0
2.66,63.64,0
1.4,57.56,0
2.25,59.62,0
2.53,57.76,0
1.37,48.36,0
0.86,60.15,0
1.7,51.63,0
1.82,57.38,0
2.3,67.24,0
2.1,73.32,0
2.14,63.9,0
1.97,56.93,0
1.91,53.96,0
2.11,47.79,0
1.21,69.03,0
2.72,62.77,0
1.69,57.72,0
1.65,60.3,0
1.28,61.68,0
1.9,56.24,0
0.97,65.44,0
2.43,55.89,0
1.53,52.53,0
2.69,77.75,0
2.28,62.86,0
1.77,58.91,0
1.84,53.4,0
1.86,55.51,0
1.42,58.54,0
2.02,71.29,0
1.94,67.41,0
1.13,67.02,0
2.24,59.62,0
2.12,58.59,0
2.24,46.86,0
2.89,61.13,0
0.91,62.77,0
2.11,59.79,0
1.53,65.44,0
2.34,66.95,0
1.36,56.49,0
1.53,63.89,0
3.0,80.18,0
3.0,54.79,0
1.24,63.78,0
1.7,65.67,0
0.75,56.66,0
0.96,53.59,0
2.57,51.43,0
2.43,57.26,0
1.06,45.66,0
1.73,62.03,0
1.34,68.31,0
2.22,64.84,0
2.85,57.92,0
2.3,63.6,0
2.46,59.16,0
2.69,68.29,0
2.41,73.17,0
2.51,52.11,0
2.43,58.11,0
1.34,64.8,0
2.83,72.2,0
1.82,64.39,0
2.19,54.87,0
2.45,57.95,0
1.49,53.44,0
1.14,47.91,0
2.9,56.73,0
3.44,63.16,0
1.68,60.92,0
2.4,74.33,0
2.17,63.74,0
0.91,54.55,0
2.46,57.15,0
3.27,69.7,0
2.47,56.31,0
2.03,61.2,0
2.35,58.1,0
1.75,61.19,0
1.97,73.9,0
2.04,60.71,0
1.58,56.79,0
1.45,55.55,0
2.15,65.62,0
2.49,67.64,0
2.09,59.15,0
2.77,51.28,0
2.22,63.87,0
2.32,53.81,0
1.74,47.77,0
1.39,56.15,0
1.63,72.99,0
2.21,72.05,0
1.79,50.41,0
1.45,50.11,0
1.77,59.53,0
1.75,64.93,0
2.29,46.24,0
2.02,43.51,0
1.09,59.3,0
2.66,64.68,0
2.6,65.76,0
1.85,65.85,0
0.86,58.94,0
2.34,62.43,0
3.09,66.35,0
0.94,62.2,0
2.8,64.65,0
1.91,61.58,0
2.22,67.16,0
2.23,62.86,0
1.74,56.65,0
2.24,62.15,0
2.18,58.68,0
1.51,69.69,0
1.85,55.03,0
3.27,70.98,1
2.74,71.46,1
3.38,80.75,1
4.77,82.44,1
4.06,86.64,1
1.7,77.57,1
2.97,75.87,1
4.65,87.17,1
4.16,79.73,1
3.78,76.23,1
4.23,95.33,1
3.96,86.32,1
2.79,58.3,1
4.93,93.6,1
2.14,80.48,1
3.94,88.78,1
3.78,80.26,1
2.73,51.21,1
3.18,78.35,1
2.9,70.6,1
3.5,73.36,1
3.5,73.89,1
3.33,71.31,1
3.32,74.83,1
2.94,69.52,1
3.91,96.66,1
4.23,80.37,1
3.26,89.1,1
3.35,109.24,1
2.86,71.48,1
3.41,79.51,1
2.97,77.45,1
3.18,74.23,1
3.66,78.16,1
3.14,85.03,1
4.38,57.71,1
3.08,74.1,1
3.67,75.64,1
2.53,74.9,1
3.74,85.14,1
4.56,76.93,1
3.48,86.57,1
2.8,73.75,1
2.92,75.35,1
3.66,84.36,1
2.78,76.1,1
2.6,73.16,1
2.89,80.91,1
3.87,73.05,1
3.88,74.73,1
