Geschwindigkeit_kmh,Abstand_m,Kollision
35.2,27.8,0
131.2,194.0,0
116.0,135.0,0
94.2,104.5,0
123.9,158.2,0
115.5,136.6,0
38.3,28.5,0
126.6,171.7,0
82.4,57.2,1
115.9,154.2,0
127.0,180.1,0
54.8,28.7,1
28.8,17.2,0
43.5,28.9,0
68.4,54.4,0
117.3,137.0,1
122.6,148.6,1
15.9,7.3,0
78.8,78.9,0
67.2,55.6,0
42.8,19.6,0
30.0,21.7,0
57.2,9.2,1
132.9,193.0,0
55.4,18.3,1
79.8,65.1,0
102.9,99.6,1
60.5,28.6,1
136.5,200.0,0
135.3,183.4,0
46.5,30.1,0
77.2,64.1,0
52.6,37.4,0
50.6,31.4,0
19.6,5.0,0
91.2,98.1,0
77.8,60.6,0
21.4,5.0,0
49.8,25.5,0
128.5,185.2,0
44.9,33.7,0
33.1,12.5,0
76.2,59.5,0
138.2,192.8,0
45.3,46.2,0
99.0,106.9,0
110.2,130.7,0
44.7,35.3,0
106.0,119.8,0
61.0,39.6,0
94.0,91.5,0
94.2,93.0,0
82.0,71.8,0
26.3,19.2,0
119.4,148.1,0
55.1,42.7,0
38.3,18.9,0
20.1,9.8,0
88.9,64.0,1
99.7,113.6,0
17.1,11.4,0
79.0,77.4,0
43.3,5.0,1
95.6,117.4,0
36.8,17.1,0
101.4,118.8,0
63.3,34.7,1
132.1,185.6,0
32.2,5.0,1
57.6,32.0,1
29.2,32.7,0
130.6,173.6,0
124.7,162.6,0
47.2,36.0,0
97.5,105.0,0
117.2,143.8,0
84.4,79.9,0
81.2,95.0,0
45.2,24.9,0
26.6,14.1,0
127.2,177.2,0
127.6,178.8,0
94.1,105.5,0
57.4,44.3,0
58.7,28.0,1
105.7,133.2,0
127.1,155.2,1
125.9,166.5,0
112.5,124.0,1
95.3,95.1,0
25.5,14.8,0
35.2,20.6,0
127.3,171.3,0
90.8,103.6,0
16.1,12.1,0
27.7,10.2,0
97.9,110.6,0
15.6,19.3,0
35.1,5.0,1
83.6,80.8,0
101.5,115.0,0
96.5,95.1,0
43.0,37.3,0
104.0,111.7,0
44.7,26.2,0
55.7,34.3,0
108.3,122.5,0
96.2,86.6,1
121.2,137.4,1
97.2,115.4,0
86.0,70.6,1
26.7,5.0,1
61.0,20.6,1
48.2,21.8,1
45.5,12.5,1
136.6,200.0,0
64.1,56.2,0
126.5,158.2,1
93.9,115.7,0
114.4,145.6,0
77.8,62.3,0
87.1,55.9,1
76.6,86.5,0
39.4,6.6,1
105.3,99.4,1
50.1,40.3,0
18.0,32.7,0
95.7,110.4,0
37.1,24.4,0
132.6,186.7,0
134.2,193.7,0
129.4,179.9,0
61.3,45.4,0
16.9,8.9,0
131.0,176.1,0
68.5,44.4,1
135.8,186.7,0
135.5,171.5,1
121.6,151.9,0
51.8,22.0,1
63.1,33.8,1
121.4,154.2,0
54.6,48.7,0
36.2,27.3,0
84.6,60.9,1
132.0,169.4,1
102.0,118.5,0
86.3,69.6,1
27.1,10.1,0
91.9,94.9,0
138.8,187.9,1
32.5,16.6,0
79.8,55.3,1
124.7,154.4,1
107.6,124.0,0
102.1,93.4,1
102.8,115.1,0
59.9,40.7,0
51.7,37.3,0
116.2,142.2,0
116.3,153.8,0
123.4,158.5,0
129.2,167.5,0
78.9,68.5,0
77.7,70.8,0
114.8,137.2,0
96.2,98.0,0
102.7,103.5,1
114.5,129.4,1
126.3,150.4,1
57.2,55.3,0
61.9,30.9,1
26.7,5.2,1
87.3,74.0,1
19.5,17.7,0
73.2,55.6,0
82.8,86.1,0
50.8,24.1,1
88.9,86.7,0
18.8,5.0,0
19.7,30.3,0
117.8,132.0,1
60.0,44.1,0
30.9,20.9,0
80.3,73.6,0
111.2,126.9,0
42.0,21.3,0
92.9,91.7,0
25.7,10.1,0
21.5,19.2,0
81.4,93.4,0
82.6,67.6,1
94.7,80.9,1
105.8,116.0,0
137.0,200.0,0
79.5,60.2,1
55.4,52.0,0
114.4,152.6,0
48.9,23.3,1
69.9,59.5,0
24.8,27.4,0
18.2,5.0,0
135.3,186.1,0
119.5,142.0,1
102.0,98.9,1
66.1,42.2,1
36.7,6.2,1
34.6,17.3,0
46.3,18.7,1
83.7,77.3,0
104.3,98.3,1
97.5,103.4,0
50.0,38.3,0
134.4,165.6,1
107.2,123.7,0
84.3,88.3,0
91.5,76.6,1
67.5,67.2,0
46.0,30.3,0
59.5,33.3,1
109.7,124.9,0
16.8,13.4,0
29.5,14.5,0
20.8,14.7,0
20.1,5.0,0
121.9,155.4,0
103.0,96.9,1
74.3,59.1,0
27.2,5.0,1
76.5,56.1,1
74.2,72.4,0
36.7,29.3,0
69.2,59.0,0
64.8,36.1,1
92.0,86.4,0
94.4,106.2,0
20.7,10.7,0
61.8,66.4,0
93.2,95.9,0
77.9,67.6,0
122.1,150.9,0
97.3,101.1,0
35.4,16.0,0
23.8,17.8,0
95.3,105.4,0
18.3,5.0,0
88.2,69.5,1
132.5,162.3,1
86.9,85.7,0
63.5,34.3,1
95.4,74.5,1
72.3,61.1,0
83.2,99.2,0
132.7,181.0,0
63.3,53.4,0
135.1,188.5,0
128.2,168.3,0
39.5,29.8,0
23.7,7.7,0
27.6,15.3,0
17.3,11.2,0
26.8,5.5,1
100.4,115.7,0
23.9,9.0,0
54.9,27.6,1
120.6,155.8,0
17.9,5.0,0
116.8,141.7,0
50.2,30.1,0
29.8,24.7,0
102.1,114.0,0
93.6,92.4,0
124.7,168.6,0
106.9,133.1,0
115.4,143.8,0
50.3,30.4,0
37.2,5.7,1
108.8,112.8,1
115.9,136.2,0
138.8,191.6,1
66.6,47.5,0
61.5,43.4,0
112.1,135.9,0
57.6,37.5,0
131.3,182.4,0
122.3,155.2,0
68.6,32.3,1
108.9,114.1,1
109.3,123.1,0
27.9,5.0,1
127.8,174.4,0
78.2,81.4,0
118.3,157.2,0
55.0,33.1,0
126.9,181.0,0
63.7,47.0,0
16.4,5.0,0
128.2,163.1,1
26.4,9.0,0
54.9,31.3,0
133.8,185.6,0
133.8,185.7,0
86.7,80.2,0
94.0,97.7,0
71.1,67.4,0
51.7,41.2,0
56.1,21.6,1
99.1,77.6,1
109.0,133.3,0
113.9,121.2,1
113.7,132.0,0
26.4,5.0,1
76.8,46.0,1
22.2,15.3,0
83.7,82.6,0
70.2,48.5,1
126.0,137.8,1
58.9,34.2,1
29.6,17.7,0
32.9,5.0,1
110.2,128.2,0
92.3,90.0,0
27.6,18.4,0
25.5,12.7,0
102.6,100.6,1
24.1,22.8,0
117.7,142.0,0
103.3,111.4,0
25.2,5.0,1
25.6,7.1,0
138.3,187.5,1
61.8,41.4,0
61.3,59.7,0
116.6,127.2,1
133.4,166.8,1
138.3,200.0,0
109.2,122.1,0
62.0,36.8,1
25.4,21.9,0
112.1,124.7,1
84.8,95.2,0
68.0,58.1,0
128.3,164.7,0
28.9,34.9,0
76.6,57.6,1
16.4,15.1,0
73.6,62.1,0
22.0,22.9,0
29.9,29.5,0
29.7,14.1,0
96.2,89.9,1
108.3,126.8,0
87.9,75.5,1
135.3,200.0,0
61.9,44.6,0
50.7,27.1,0
123.6,159.6,0
42.9,10.0,1
135.4,178.6,1
16.5,19.7,0
136.2,184.0,1
20.4,5.0,0
126.4,170.1,0
81.0,82.4,0
139.1,200.0,0
24.2,20.8,0
84.2,68.4,1
136.2,176.2,1
80.4,84.6,0
93.7,89.5,0
102.0,106.5,0
71.8,69.9,0
93.4,97.9,0
88.0,87.1,0
127.6,189.6,0
20.7,5.0,0
50.1,39.4,0
133.8,184.6,0
126.3,167.2,0
72.0,72.1,0
92.5,95.7,0
49.7,35.1,0
38.5,30.6,0
73.0,54.6,0
59.2,31.6,1
88.0,71.9,1
24.7,5.0,1
136.8,200.0,0
138.3,185.2,1
102.3,107.4,0
82.0,69.5,0
53.7,36.9,0
116.7,149.4,0
100.6,114.8,0
35.3,11.6,1
128.9,169.4,0
117.8,146.6,0
133.7,181.3,0
105.7,132.8,0
91.7,94.0,0
67.3,57.6,0
131.6,184.8,0
123.3,168.7,0
20.7,11.1,0
18.3,5.0,0
62.1,47.5,0
116.3,133.8,1
138.4,191.3,1
33.8,22.3,0
89.3,97.1,0
62.6,44.4,0
136.2,193.7,0
120.3,166.7,0
119.8,150.9,0
73.6,85.2,0
66.9,55.3,0
49.2,11.6,1
22.0,17.4,0
123.1,160.3,0
116.6,153.9,0
140.0,200.0,0
139.6,198.4,0
84.4,64.0,1
111.1,126.4,0
133.1,173.6,1
121.2,146.1,1
45.9,32.0,0
71.3,72.6,0
31.1,18.6,0
134.3,173.3,1
90.8,91.8,0
43.6,36.0,0
99.0,96.8,1
92.3,88.8,0
59.8,40.9,0
29.2,5.7,1
98.9,109.4,0
80.0,67.9,0
111.5,133.6,0
80.0,60.2,1
121.5,148.3,0
84.0,82.8,0
85.1,73.7,0
124.6,177.5,0
65.4,43.8,0
31.8,17.3,0
18.6,17.8,0
109.4,110.5,1
92.5,73.0,1
103.0,95.9,1
41.6,34.9,0
32.0,9.8,1
16.8,33.4,0
58.8,34.0,1
88.7,85.6,0
64.0,61.4,0
69.7,73.6,0
128.0,189.5,0
58.5,51.3,0
79.2,78.0,0
113.0,138.5,0
64.6,54.5,0
92.8,85.5,1
122.8,147.6,1
133.7,183.7,0
33.4,14.4,0
130.8,171.6,0
76.5,70.5,0
47.3,36.9,0
72.4,58.3,0
137.5,200.0,0
76.6,52.2,1
56.1,34.5,0
94.2,86.5,1
45.0,6.6,1
24.5,10.2,0
31.1,13.5,0
31.0,29.7,0
34.0,22.9,0
32.4,5.2,1
95.1,114.0,0
37.7,31.4,0
58.2,44.7,0
127.1,164.3,0
74.2,50.5,1
98.4,98.2,0
36.5,29.2,0
39.0,39.1,0
20.1,24.5,0
36.1,13.2,0
49.8,18.6,1
37.1,20.2,0
26.1,5.0,1
30.1,17.3,0
72.6,56.2,0
40.8,17.0,0
60.5,25.7,1
77.9,70.9,0
101.3,102.3,1
19.9,5.0,0
114.9,108.4,1
93.5,92.1,0
25.2,29.1,0
124.2,175.9,0
130.1,169.7,0
22.6,5.0,1
49.6,34.3,0
115.8,129.1,1
108.5,125.8,0
38.1,27.2,0
41.2,34.2,0
61.3,41.6,0
75.6,60.1,0
92.3,81.4,1
61.1,34.1,1
72.8,55.8,0
108.4,126.3,0
19.6,18.0,0
46.6,18.6,1
104.2,128.4,0
126.9,163.3,0
79.0,67.1,0
81.5,64.0,1
28.4,5.0,1
70.9,64.1,0
81.6,78.9,0
45.3,22.7,0
48.7,29.3,0
62.2,48.8,0
17.5,5.0,0
55.3,30.2,1
41.4,30.1,0
55.9,23.7,1
30.0,16.9,0
126.3,151.0,1
89.2,89.2,0
99.9,104.4,0
113.6,118.0,1
77.3,76.4,0
25.9,5.0,1
82.1,64.4,1
88.4,85.1,0
108.2,133.5,0
69.0,42.4,1
30.9,15.2,0
50.5,34.8,0
60.4,48.4,0
95.7,98.4,0
86.3,75.9,0
59.5,32.1,1
138.3,197.2,0
90.7,76.6,1
44.7,5.0,1
27.7,17.1,0
34.1,25.7,0
45.7,5.0,1
35.1,7.2,1
38.3,25.9,0
50.6,51.2,0
36.7,18.7,0
127.1,159.3,1
25.0,9.4,0
80.6,83.7,0
66.3,42.5,1
137.8,186.9,1
29.0,8.6,0
64.7,37.4,1
136.2,191.7,0
123.2,173.0,0
117.1,145.4,0
47.2,24.8,0
36.4,15.3,0
98.6,86.5,1
131.2,185.9,0
84.6,75.8,0
86.5,77.9,0
50.0,61.9,0
111.2,131.6,0
38.4,12.2,1
55.5,31.5,0
68.2,63.0,0
78.5,67.7,0
45.3,11.1,1
29.4,22.8,0
91.3,81.7,1
51.1,49.8,0
87.7,92.6,0
34.3,12.3,0
75.1,74.3,0
81.6,72.2,0
21.5,18.1,0
57.1,42.4,0
31.8,6.7,1
22.9,5.0,1
138.7,200.0,0
55.3,32.2,0
116.2,136.1,0
46.8,17.4,1
100.2,109.6,0
110.0,146.7,0
89.5,74.3,1
73.9,59.9,0
66.5,63.3,0
58.6,38.6,0
131.2,181.6,0
118.8,135.6,1
135.6,193.2,0
30.5,12.5,0
106.4,128.0,0
132.3,191.9,0
37.7,45.1,0
23.3,16.2,0
107.6,124.1,0
86.8,82.3,0
120.2,146.0,0
32.5,18.9,0
114.4,132.9,0
40.2,22.8,0
35.5,30.7,0
35.5,7.6,1
116.8,152.9,0
98.1,114.5,0
80.4,68.4,0
59.9,19.6,1
124.7,154.3,1
64.1,59.0,0
117.1,141.8,0
69.9,43.9,1
62.1,38.5,1
72.8,66.5,0
52.7,38.2,0
108.5,120.2,0
77.8,61.9,0
44.0,20.5,0
127.4,158.2,1
63.0,60.8,0
82.9,70.6,0
128.3,181.8,0
93.0,106.8,0
29.6,23.8,0
132.5,176.2,0
93.5,96.4,0
56.9,37.1,0
32.4,6.5,1
114.3,138.8,0
92.5,78.8,1
81.7,83.6,0
126.7,161.0,0
113.6,136.0,0
34.0,19.4,0
54.0,31.5,0
46.1,32.1,0
108.0,116.9,0
19.2,17.4,0
86.2,65.9,1
110.3,127.9,0
124.6,179.6,0
57.8,28.4,1
117.7,136.7,1
28.8,18.5,0
120.8,152.7,0
30.9,18.1,0
64.7,51.7,0
114.7,142.8,0
33.7,27.5,0
43.7,28.2,0
105.3,113.4,0
105.0,122.0,0
95.1,114.5,0
101.7,107.2,0
82.8,63.9,1
46.5,37.7,0
58.2,37.7,0
37.7,5.0,1
128.6,178.7,0
87.9,77.0,1
65.1,46.5,0
72.8,61.2,0
133.4,184.9,0
34.2,23.8,0
88.3,78.6,0
78.2,71.3,0
91.4,86.0,0
17.3,15.4,0
124.0,165.0,0
131.5,168.6,1
85.6,89.2,0
102.1,103.8,1
130.3,182.9,0
103.4,115.6,0
34.1,35.0,0
87.0,78.5,0
90.8,84.0,0
68.0,51.1,0
107.1,116.6,0
131.8,186.7,0
130.7,159.7,1
71.4,45.4,1
29.2,5.0,1
138.1,200.0,0
119.9,165.8,0
30.6,13.3,0
130.1,172.6,0
123.7,158.8,0
79.9,80.4,0
88.9,74.8,1
64.9,49.5,0
21.8,19.5,0
56.9,42.4,0
115.4,140.0,0
15.6,17.4,0
56.7,10.1,1
64.8,53.7,0
82.2,66.0,1
130.0,155.6,1
58.3,44.1,0
58.4,52.8,0
107.2,118.5,0
71.5,65.7,0
43.1,39.7,0
71.6,69.4,0
32.6,32.0,0
37.0,26.1,0
77.3,65.5,0
67.4,34.4,1
129.4,169.9,0
60.3,32.9,1
87.6,103.4,0
94.0,91.7,0
16.6,9.0,0
97.9,106.4,0
37.3,19.3,0
135.1,200.0,0
33.6,10.1,1
66.8,51.6,0
25.7,5.0,1
139.6,186.7,1
77.8,59.4,1
89.4,84.6,0
23.4,6.2,0
108.7,116.3,1
41.2,7.9,1
127.3,166.1,0
40.6,6.5,1
38.8,27.7,0
19.6,9.7,0
74.0,45.2,1
85.6,75.2,0
23.2,5.0,1
111.9,133.5,0
71.7,69.8,0
80.5,51.1,1
70.1,55.3,0
65.1,45.8,0
85.0,83.9,0
34.4,19.0,0
37.7,11.7,1
122.7,152.4,0
133.3,174.6,1
61.7,53.8,0
48.8,29.1,0
95.5,115.2,0
66.1,48.1,0
18.2,5.0,0
34.5,5.0,1
104.5,96.2,1
97.4,84.0,1
18.4,11.1,0
42.7,28.4,0
43.9,8.4,1
99.0,111.9,0
17.5,5.0,0
28.0,14.3,0
115.0,153.3,0
37.3,27.9,0
96.6,95.6,0
44.8,16.1,1
27.4,5.0,1
45.4,18.4,1
105.3,113.7,0
122.0,143.9,1
118.8,144.8,0
64.6,47.6,0
98.5,99.8,0
40.6,15.0,1
51.6,33.4,0
127.0,170.8,0
16.6,5.0,0
25.7,25.7,0
41.0,20.8,0
18.3,8.5,0
37.7,26.3,0
87.9,84.6,0
67.7,60.3,0
126.6,168.1,0
117.2,136.2,1
57.7,41.9,0
47.4,16.1,1
62.5,45.1,0
88.8,83.5,0
48.5,26.4,0
93.0,90.2,0
66.2,30.0,1
84.0,70.1,1
69.5,54.3,0
51.8,33.4,0
133.6,173.1,1
110.5,139.7,0
32.5,6.9,1
123.6,167.4,0
75.9,66.9,0
126.8,159.4,1
115.0,155.0,0
68.2,39.5,1
17.8,17.4,0
48.6,38.6,0
82.7,66.7,1
94.2,107.6,0
47.2,24.8,0
32.4,18.4,0
119.4,150.1,0
138.1,194.2,0
80.7,78.3,0
36.5,26.2,0
49.0,11.6,1
17.3,21.0,0
129.3,155.5,1
29.7,24.2,0
87.1,92.1,0
49.3,18.4,1
84.3,71.9,0
96.4,86.9,1
118.7,143.8,0
40.8,18.6,0
16.4,15.5,0
32.1,28.4,0
127.5,181.5,0
124.2,153.7,1
89.7,83.3,0
90.1,69.3,1
98.1,93.2,1
36.9,28.3,0
129.3,188.3,0
67.3,38.0,1
62.9,38.6,1
79.9,68.5,0
20.9,12.2,0
35.8,9.7,1
107.3,124.3,0
25.3,6.7,0
90.4,86.6,0
45.7,31.3,0
63.7,45.6,0
51.1,26.7,0
59.5,39.3,0
104.9,114.1,0
52.1,28.5,0
85.8,76.0,0
74.5,76.5,0
98.0,106.6,0
132.1,176.6,0
106.6,125.5,0
41.9,19.2,0
18.9,20.3,0
47.8,31.5,0
89.4,83.8,0
21.4,14.1,0
77.0,48.7,1
89.6,74.0,1
56.8,25.3,1
111.4,130.4,0
28.3,30.3,0
24.4,33.3,0
106.0,123.8,0
76.9,69.2,0
101.1,89.1,1
69.4,47.7,1
45.8,18.1,1
117.4,136.6,1
114.9,135.4,0
101.8,104.0,0
49.0,9.2,1
88.8,91.3,0
60.1,30.4,1
26.4,14.4,0
129.7,193.9,0
32.1,6.1,1
133.8,158.7,1
70.8,52.2,0
38.1,30.6,0
82.7,93.0,0
124.1,146.8,1
106.5,123.4,0
115.8,134.5,0
97.3,98.7,0
101.5,134.5,0
121.1,136.7,1
46.2,28.9,0
76.2,67.7,0
42.7,34.0,0
138.5,197.7,0
133.0,185.0,0
19.9,5.1,0
103.2,114.2,0
130.7,172.3,0
37.6,25.3,0
86.0,75.3,0
129.4,176.3,0
19.2,8.4,0
102.2,120.7,0
52.2,31.7,0
130.5,157.7,1
136.4,200.0,0
133.0,172.9,1
74.3,53.6,1
122.8,149.7,1
120.6,164.1,0
54.9,13.8,1
118.6,177.1,0
19.6,19.4,0
89.5,87.4,0
43.8,23.6,0
30.1,16.9,0
24.6,16.3,0
102.0,115.6,0
57.5,43.6,0
105.6,117.4,0
23.2,8.4,0
54.4,33.1,0
82.4,71.0,0
113.8,145.9,0
54.8,41.0,0
93.2,62.5,1
125.7,169.7,0
92.0,91.6,0
44.1,24.3,0
18.1,5.0,0
123.8,169.4,0
17.7,17.6,0
124.3,151.9,1
81.1,74.9,0
132.4,170.5,1
114.8,123.1,1
139.7,194.0,1
58.8,48.2,0
110.9,137.5,0
65.2,52.7,0
75.0,68.5,0
93.4,97.5,0
124.2,152.9,1
138.0,199.8,0
111.0,136.3,0
67.2,57.7,0
67.7,62.7,0
107.2,127.0,0
44.8,28.6,0
28.8,24.0,0
59.3,39.9,0
50.9,22.1,1
52.0,30.4,0
44.2,17.1,1
20.3,5.0,0
17.2,6.5,0
138.5,188.8,1
68.5,48.8,0
63.0,25.8,1
100.0,107.0,0
42.3,22.9,0
133.7,175.7,1
113.3,139.9,0
26.2,21.2,0
67.2,34.1,1
124.9,153.3,1
133.1,174.4,1
73.4,49.5,1
91.7,97.3,0
35.9,15.9,0
138.9,195.3,0
44.0,5.0,1
132.8,187.8,0
96.2,85.2,1
91.0,88.3,0
79.1,70.3,0
43.8,37.8,0
37.1,5.7,1
42.6,5.0,1
38.3,21.5,0
112.4,149.5,0
58.8,51.9,0
22.2,12.0,0
136.1,185.4,0
125.5,170.5,0
131.0,166.8,1
139.4,200.0,0
36.7,23.6,0
64.5,57.2,0
109.8,153.1,0
102.0,113.0,0
34.2,11.6,1
117.0,141.6,0
43.1,5.8,1
43.0,16.5,1
82.1,68.3,0
89.1,79.2,1
87.5,83.1,0
26.4,5.0,1
124.7,171.7,0
48.2,28.2,0
31.2,14.6,0
126.1,160.7,0
134.5,187.3,0
122.8,164.0,0
116.2,131.3,1
96.9,92.3,1
83.9,72.3,0
25.9,5.0,1
66.1,40.4,1
61.6,38.2,0
47.5,36.3,0
105.4,118.8,0
77.0,66.2,0
25.1,19.8,0
42.5,21.7,0
100.4,109.7,0
24.5,10.0,0
121.4,155.0,0
76.9,58.3,1
75.1,37.0,1
89.1,83.0,0
118.1,158.7,0
58.5,48.5,0
99.8,114.2,0
85.7,90.8,0
48.4,29.3,0
124.8,162.8,0
114.7,130.3,1
97.3,96.5,0
121.3,158.3,0
123.4,169.3,0
103.5,110.8,0
119.6,143.6,0
102.2,109.4,0
100.0,111.0,0
92.3,75.8,1
109.1,101.0,1
34.8,11.6,1
125.1,149.3,1
124.0,153.6,1
18.7,7.0,0
118.2,140.2,0
31.1,29.2,0
56.9,40.6,0
107.9,124.5,0
35.1,23.5,0
117.2,131.1,1
119.0,157.0,0
78.4,65.8,0
15.8,14.2,0
50.9,20.2,1
92.1,74.3,1
137.6,200.0,0
94.0,97.1,0
47.5,18.5,1
94.3,85.1,1
82.5,84.3,0
112.5,119.6,1
28.4,29.5,0
110.1,117.3,1
82.7,79.7,0
135.4,185.0,0
57.7,44.4,0
94.1,88.1,1
131.5,176.3,0
27.8,13.1,0
132.2,169.6,1
101.0,114.4,0
23.5,5.4,1
52.6,30.4,0
103.5,102.2,1
23.4,5.0,1
87.8,80.1,0
58.2,63.0,0
92.6,98.6,0
20.7,9.1,0
123.9,156.0,0
136.7,192.1,0
136.1,195.7,0
108.7,111.4,1
31.3,25.9,0
